Date,Expiry,Option Type,Strike Price,LTP,Open Interest,Underlying Value
29-Dec-2025,03-Feb-2026,CE,24300.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24350.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24400.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24450.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24500.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24550.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24600.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24650.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24700.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24750.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24800.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24850.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24900.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,24950.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25000.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25050.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25100.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25150.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25200.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25250.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25300.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25350.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25400.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25450.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25500.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25550.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25600.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25650.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25700.0,704.55,845.0,25942.1
29-Dec-2025,03-Feb-2026,CE,25750.0,,,25942.1
29-Dec-2025,03-Feb-2026,CE,25800.0,570.0,65.0,25942.1
29-Dec-2025,03-Feb-2026,CE,25850.0,,,25942.1
